ten_X2:110000001-115000000	TEN_583
ten_X2:115000001-120000000	TEN_584
ten_X2:120000001-125000000	TEN_585
ten_X2:125000001-130000000	TEN_586
ten_X2:130000001-135000000	TEN_587
ten_X2:135000001-140000000	TEN_588
ten_X2:140000001-145000000	TEN_589
ten_X2:145000001-150000000	TEN_590
ten_X2:150000001-155000000	TEN_591
ten_X2:155000001-160000000	TEN_592
ten_X2:160000001-165000000	TEN_593
ten_X2:165000001-170000000	TEN_594
ten_X2:170000001-175000000	TEN_595
ten_X2:175000001-180000000	TEN_596
ten_X2:180000001-185000000	TEN_597
ten_X2:185000001-190000000	TEN_598
ten_X2:190000001-195000000	TEN_599
ten_X2:195000001-200000000	TEN_600
ten_X2:200000001-205000000	TEN_601
ten_X2:205000001-206448042	TEN_602
