dum_10:120000001-125000000	DUM_468
dum_10:125000001-130000000	DUM_469
dum_10:130000001-135000000	DUM_470
dum_10:135000001-140000000	DUM_471
dum_10:140000001-145000000	DUM_472
dum_10:145000001-150000000	DUM_473
dum_10:150000001-155000000	DUM_474
dum_10:155000001-160000000	DUM_475
dum_10:160000001-165000000	DUM_476
dum_10:165000001-170000000	DUM_477
dum_10:170000001-175000000	DUM_478
dum_10:175000001-180000000	DUM_479
dum_10:180000001-185000000	DUM_480
dum_10:185000001-187836202	DUM_481
dum_11:1-5000000	DUM_482
dum_11:5000001-10000000	DUM_483
dum_11:10000001-15000000	DUM_484
dum_11:15000001-20000000	DUM_485
dum_11:20000001-25000000	DUM_486
dum_11:25000001-30000000	DUM_487
dum_11:30000001-35000000	DUM_488
dum_11:35000001-40000000	DUM_489
dum_11:40000001-45000000	DUM_490
dum_11:45000001-50000000	DUM_491
dum_11:50000001-55000000	DUM_492
dum_11:55000001-60000000	DUM_493
dum_11:60000001-65000000	DUM_494
dum_11:65000001-70000000	DUM_495
dum_11:70000001-75000000	DUM_496
dum_11:75000001-80000000	DUM_497
dum_11:80000001-85000000	DUM_498
dum_11:85000001-90000000	DUM_499
dum_11:90000001-95000000	DUM_500
dum_11:95000001-100000000	DUM_501
dum_11:100000001-105000000	DUM_502
dum_11:105000001-110000000	DUM_503
dum_11:110000001-115000000	DUM_504
dum_11:115000001-120000000	DUM_505
dum_11:120000001-125000000	DUM_506
dum_11:125000001-130000000	DUM_507
dum_11:130000001-135000000	DUM_508
dum_11:135000001-140000000	DUM_509
dum_11:140000001-145000000	DUM_510
dum_11:145000001-150000000	DUM_511
dum_11:150000001-155000000	DUM_512
dum_11:155000001-160000000	DUM_513
dum_11:160000001-165000000	DUM_514
dum_11:165000001-168719541	DUM_515
dum_12:1-5000000	DUM_516
dum_12:5000001-10000000	DUM_517
dum_12:10000001-15000000	DUM_518
dum_12:15000001-20000000	DUM_519
dum_12:20000001-25000000	DUM_520
dum_12:25000001-30000000	DUM_521
dum_12:30000001-35000000	DUM_522
dum_12:35000001-40000000	DUM_523
dum_12:40000001-45000000	DUM_524
dum_12:45000001-50000000	DUM_525
dum_12:50000001-55000000	DUM_526
dum_12:55000001-60000000	DUM_527
dum_12:60000001-65000000	DUM_528
dum_12:65000001-70000000	DUM_529
dum_12:70000001-75000000	DUM_530
dum_12:75000001-80000000	DUM_531
dum_12:80000001-85000000	DUM_532
dum_12:85000001-90000000	DUM_533
dum_12:90000001-95000000	DUM_534
dum_12:95000001-100000000	DUM_535
dum_12:100000001-105000000	DUM_536
dum_12:105000001-110000000	DUM_537
dum_12:110000001-115000000	DUM_538
dum_12:115000001-120000000	DUM_539
dum_12:120000001-125000000	DUM_540
dum_12:125000001-125049626	DUM_541
dum_X1:1-5000000	DUM_542
dum_X1:5000001-10000000	DUM_543
dum_X1:10000001-15000000	DUM_544
dum_X1:15000001-20000000	DUM_545
dum_X1:20000001-25000000	DUM_546
dum_X1:25000001-30000000	DUM_547
dum_X1:30000001-35000000	DUM_548
dum_X1:35000001-40000000	DUM_549
dum_X1:40000001-45000000	DUM_550
dum_X1:45000001-50000000	DUM_551
dum_X1:50000001-55000000	DUM_552
dum_X1:55000001-60000000	DUM_553
dum_X1:60000001-65000000	DUM_554
dum_X1:65000001-70000000	DUM_555
dum_X1:70000001-75000000	DUM_556
dum_X1:75000001-80000000	DUM_557
dum_X1:80000001-85000000	DUM_558
dum_X1:85000001-90000000	DUM_559
dum_X1:90000001-95000000	DUM_560
dum_X1:95000001-100000000	DUM_561
dum_X1:100000001-105000000	DUM_562
dum_X1:105000001-110000000	DUM_563
dum_X1:110000001-115000000	DUM_564
dum_X1:115000001-120000000	DUM_565
dum_X1:120000001-125000000	DUM_566
dum_X1:125000001-130000000	DUM_567
dum_X1:130000001-135000000	DUM_568
dum_X1:135000001-140000000	DUM_569
dum_X1:140000001-145000000	DUM_570
dum_X1:145000001-150000000	DUM_571
dum_X1:150000001-155000000	DUM_572
dum_X1:155000001-160000000	DUM_573
dum_X1:160000001-165000000	DUM_574
dum_X1:165000001-170000000	DUM_575
dum_X1:170000001-175000000	DUM_576
dum_X1:175000001-180000000	DUM_577
dum_X1:180000001-185000000	DUM_578
dum_X1:185000001-190000000	DUM_579
dum_X1:190000001-195000000	DUM_580
dum_X1:195000001-200000000	DUM_581
dum_X1:200000001-205000000	DUM_582
dum_X1:205000001-210000000	DUM_583
dum_X1:210000001-215000000	DUM_584
dum_X1:215000001-220000000	DUM_585
dum_X1:220000001-225000000	DUM_586
dum_X1:225000001-230000000	DUM_587
dum_X1:230000001-235000000	DUM_588
dum_X1:235000001-240000000	DUM_589
dum_X1:240000001-245000000	DUM_590
dum_X1:245000001-250000000	DUM_591
dum_X1:250000001-255000000	DUM_592
dum_X1:255000001-260000000	DUM_593
dum_X1:260000001-261808960	DUM_594
dum_X2:1-5000000	DUM_595
dum_X2:5000001-10000000	DUM_596
dum_X2:10000001-15000000	DUM_597
dum_X2:15000001-20000000	DUM_598
dum_X2:20000001-25000000	DUM_599
dum_X2:25000001-30000000	DUM_600
dum_X2:30000001-35000000	DUM_601
dum_X2:35000001-40000000	DUM_602
dum_X2:40000001-45000000	DUM_603
dum_X2:45000001-50000000	DUM_604
dum_X2:50000001-55000000	DUM_605
dum_X2:55000001-60000000	DUM_606
dum_X2:60000001-65000000	DUM_607
dum_X2:65000001-70000000	DUM_608
dum_X2:70000001-75000000	DUM_609
dum_X2:75000001-80000000	DUM_610
dum_X2:80000001-85000000	DUM_611
dum_X2:85000001-90000000	DUM_612
dum_X2:90000001-95000000	DUM_613
dum_X2:95000001-100000000	DUM_614
dum_X2:100000001-105000000	DUM_615
dum_X2:105000001-110000000	DUM_616
dum_X2:110000001-115000000	DUM_617
dum_X2:115000001-120000000	DUM_618
dum_X2:120000001-125000000	DUM_619
dum_X2:125000001-130000000	DUM_620
dum_X2:130000001-135000000	DUM_621
dum_X2:135000001-140000000	DUM_622
dum_X2:140000001-145000000	DUM_623
dum_X2:145000001-150000000	DUM_624
dum_X2:150000001-155000000	DUM_625
dum_X2:155000001-160000000	DUM_626
dum_X2:160000001-165000000	DUM_627
dum_X2:165000001-170000000	DUM_628
dum_X2:170000001-175000000	DUM_629
dum_X2:175000001-180000000	DUM_630
dum_X2:180000001-185000000	DUM_631
dum_X2:185000001-190000000	DUM_632
dum_X2:190000001-195000000	DUM_633
dum_X2:195000001-200000000	DUM_634
dum_X2:200000001-205000000	DUM_635
dum_X2:205000001-206488318	DUM_636
