ind_id	first_mating_time	sex
male_259	15.199999999999962	male
male_260	66.80000000000048	male
male_262	73.5000000000001	male
male_263	35.70000000000024	male
male_268	9.499999999999982	male
male_272	19.70000000000001	male
male_273	7.699999999999989	male
male_275	8.999999999999984	male
male_277	18.29999999999999	male
male_278	7.499999999999989	male
male_279	60.60000000000059	male
male_280	20.700000000000024	male
male_287	90.69999999999912	male
male_291	62.00000000000061	male
male_292	7.699999999999989	male
male_297	43.40000000000035	male
male_299	12.69999999999997	male
male_302	5.899999999999995	male
male_304	45.300000000000374	male
male_306	80.89999999999968	male
male_307	23.400000000000063	male
male_311	1.0999999999999999	male
male_312	3.2000000000000015	male
male_316	2.2000000000000006	male
male_317	60.30000000000059	male
male_321	4.899999999999999	male
male_322	26.500000000000107	male
male_324	6.8999999999999915	male
male_326	17.69999999999998	male
male_331	35.40000000000023	male
male_332	12.099999999999973	male
male_333	31.60000000000018	male
male_335	0.8999999999999999	male
male_337	8.599999999999985	male
male_339	47.0000000000004	male
male_341	17.399999999999977	male
male_342	14.899999999999963	male
male_345	11.899999999999974	male
male_350	14.899999999999963	male
male_353	33.1000000000002	male
male_355	19.80000000000001	male
male_356	21.70000000000004	male
male_357	2.800000000000001	male
male_358	4.699999999999999	male
male_359	18.799999999999997	male
male_360	6.499999999999993	male
male_361	16.29999999999996	male
male_363	5.599999999999996	male
male_364	60.30000000000059	male
male_365	0.30000000000000004	male
male_366	22.40000000000005	male
male_367	8.899999999999984	male
male_368	30.000000000000156	male
male_370	56.80000000000054	male
male_371	13.699999999999967	male
male_372	10.799999999999978	male
male_373	60.200000000000585	male
male_377	4.100000000000001	male
male_378	20.50000000000002	male
male_380	88.99999999999922	male
male_381	5.099999999999998	male
male_383	18.19999999999999	male
male_389	5.099999999999998	male
male_392	46.50000000000039	male
male_393	36.40000000000025	male
male_394	47.600000000000406	male
male_396	13.799999999999967	male
male_398	19.1	male
male_399	5.599999999999996	male
male_400	9.199999999999983	male
male_404	41.70000000000032	male
